gen	arc	test_reward
0	0-3-k3|0-3-k3|13-22-k3|8-15-k1|20-31-k7|12-19-k5|17-22-k3	0.6258967444203435
0	0-3-k3|0-3-k3|10-21-k5|14-29-k1|17-26-k5|19-29-k7|8-12-k1	0.657924555741199
0	0-3-k3|0-3-k3|14-22-k7|4-9-k1|11-21-k3|11-20-k5|7-10-k7	0.6391230101835009
0	0-3-k3|0-3-k3|5-14-k7|11-20-k1|15-25-k5|12-24-k7|0-6-k1	0.7106529425272551
0	0-3-k3|0-3-k3|15-29-k5|10-20-k3|19-31-k5|18-24-k5|14-17-k1	0.46762841899656904
0	0-3-k3|0-3-k3|15-23-k3|13-28-k1|15-29-k1|14-28-k7|15-20-k3	0.6194651152143072
0	0-3-k3|0-3-k3|14-25-k5|8-17-k3|20-30-k1|12-20-k7|16-18-k3	0.6375345141678267
0	0-3-k3|0-3-k3|12-17-k5|11-25-k7|18-24-k1|20-27-k3|16-24-k7	0.6068639410345884
0	0-3-k3|0-3-k3|15-20-k3|15-30-k3|12-25-k1|20-30-k3|2-3-k1	0.669806772583796
0	0-3-k3|0-3-k3|11-24-k1|10-15-k5|15-28-k3|18-32-k7|17-25-k5	0.7079312039187996
1	0-3-k3|0-3-k3|4-16-k5|7-22-k1|10-22-k1|11-17-k7|0-6-k3	0.7273598113498376
1	0-3-k3|0-3-k3|5-18-k5|10-21-k3|19-25-k5|12-26-k7|2-6-k1	0.7882788833096928
1	0-3-k3|0-3-k3|12-27-k7|15-20-k5|11-18-k3|19-29-k3|8-13-k1	0.6762359842069199
1	0-3-k3|0-3-k3|8-16-k5|8-23-k5|14-23-k1|14-28-k7|11-20-k1	0.6466664326511208
1	0-3-k3|0-3-k3|10-16-k1|5-20-k5|20-34-k3|18-28-k7|17-25-k5	0.7869998878424423
1	0-3-k3|0-3-k3|6-15-k5|15-20-k7|16-25-k3|16-30-k5|6-12-k7	0.39414417798901696
1	0-3-k3|0-3-k3|6-11-k5|3-8-k5|15-24-k3|11-21-k1|3-7-k7	0.37185220784702766
1	0-3-k3|0-3-k3|15-26-k5|10-15-k1|12-23-k3|12-23-k7|8-14-k1	0.5001023338314805
1	0-3-k3|0-3-k3|11-23-k3|10-17-k5|19-28-k5|15-24-k7|6-9-k1	0.7216852368921051
1	0-3-k3|0-3-k3|13-24-k1|7-19-k5|10-20-k3|17-28-k3|13-17-k1	0.5991533710062897
2	0-3-k3|0-3-k3|7-21-k7|9-20-k3|14-29-k1|19-25-k5|17-25-k5	0.7220634846950562
2	0-3-k3|0-3-k3|13-24-k7|11-20-k5|11-18-k1|11-25-k7|0-4-k1	0.7128746578841428
2	0-3-k3|0-3-k3|8-16-k5|15-20-k1|17-31-k1|14-23-k5|9-12-k7	0.5675406427533823
2	0-3-k3|0-3-k3|10-16-k5|10-21-k1|16-27-k1|10-20-k7|6-11-k1	0.6480041795728577
2	0-3-k3|0-3-k3|8-19-k5|12-22-k5|19-33-k7|17-31-k3|0-8-k1	0.6716221925900876
2	0-3-k3|0-3-k3|8-19-k5|6-15-k1|15-27-k3|20-30-k3|8-12-k1	0.7329867383475129
2	0-3-k3|0-3-k3|14-28-k5|7-16-k3|19-30-k3|18-27-k7|17-24-k3	0.7268468060110942
2	0-3-k3|0-3-k3|8-17-k5|4-19-k1|19-29-k3|12-26-k7|5-12-k1	0.6448923752598047
2	0-3-k3|0-3-k3|15-23-k1|10-15-k1|18-27-k5|15-28-k5|8-15-k1	0.7024521909945771
2	0-3-k3|0-3-k3|4-13-k1|8-23-k3|15-30-k3|12-21-k3|4-8-k3	0.7175516923934584
3	0-3-k3|0-3-k3|11-22-k3|10-15-k3|19-34-k5|19-31-k3|5-16-k1	0.7537517197468452
3	0-3-k3|0-3-k3|8-17-k3|8-13-k5|19-28-k1|17-27-k5|17-22-k5	0.6962763638153926
3	0-3-k3|0-3-k3|8-16-k1|7-13-k1|15-30-k5|19-30-k5|12-17-k1	0.5881246491324644
3	0-3-k3|0-3-k3|7-19-k7|8-19-k5|20-33-k3|18-25-k7|7-13-k1	0.604714595010335
3	0-3-k3|0-3-k3|10-20-k3|15-20-k5|15-27-k5|15-24-k3|17-32-k3	0.7071685490366655
3	0-3-k3|0-3-k3|10-25-k5|10-21-k5|18-28-k3|14-23-k3|17-26-k3	0.6984183808676728
3	0-3-k3|0-3-k3|15-24-k7|10-20-k3|11-17-k3|19-25-k7|0-5-k1	0.5879238301476208
3	0-3-k3|0-3-k3|4-13-k5|11-25-k3|18-29-k5|12-19-k7|5-17-k1	0.7802356394422575
3	0-3-k3|0-3-k3|13-25-k5|12-21-k3|19-28-k3|20-33-k5|8-13-k1	0.6826819699681484
3	0-3-k3|0-3-k3|3-15-k5|6-15-k5|13-22-k3|11-23-k5|6-12-k1	0.8024315234284815
